customer_age,customer_tenure_months,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,complaints_count,ratio_atraso_entrega,custo_por_item,intensidade_problema,entrega_no_prazo,score_logistica,cliente_longa_data,pct_desconto
55,113,261.42,4,28.92,3,9,1,16.29,3,1,10,3,0.1,69.42750000000001,40,0,-5,1,11.020501486167213
43,80,815.51,3,33.42,6,8,3,38.22,1,1,2,3,0.3333333333333333,284.57666666666665,8,0,-7,1,4.093030091486939
68,42,223.52,4,3.91,6,8,2,37.53,1,2,8,5,0.2222222222222222,65.2625,96,0,-5,0,1.7414929627650098
38,26,323.22,6,48.95,9,13,0,22.17,2,1,6,1,0.0,57.565000000000005,12,1,3,0,15.097773117019308
67,33,302.89,2,22.97,5,10,0,58.88,3,1,2,1,0.0,180.885,4,1,2,0,7.5586560926651085
30,38,477.33,3,31.61,8,3,2,40.72,2,0,4,2,0.5,172.6833333333333,0,0,-6,0,6.608408420964606
36,53,617.4,1,24.0,11,12,0,47.57,3,2,2,3,0.0,664.97,16,1,2,0,3.8809831824062098
35,24,519.41,6,6.98,9,5,2,9.73,3,0,4,5,0.3333333333333333,88.19,0,0,-7,0,1.3412501681366615
19,67,430.96,2,6.8,2,10,3,16.33,1,1,4,3,0.2727272727272727,223.64499999999998,16,0,-7,1,1.574219835169923
69,88,90.76,6,4.81,6,6,2,47.02,2,1,11,3,0.2857142857142857,22.963333333333335,44,0,-6,1,5.241935483870967
62,30,98.29,4,31.32,3,9,2,39.85,3,1,7,3,0.2,34.535000000000004,28,0,-7,0,31.543962131131025
59,72,340.91,5,32.07,9,10,3,33.67,2,2,7,5,0.2727272727272727,74.91600000000001,84,0,-8,1,9.379661314380977
66,82,535.69,3,33.85,5,12,3,41.93,1,1,5,4,0.23076923076923078,192.54,25,0,-7,1,6.307179190966853
45,5,470.48,2,3.25,4,12,1,46.78,3,0,10,2,0.07692307692307693,258.63,0,0,-5,0,0.6893187409858319
67,51,739.57,4,30.17,11,2,2,10.35,2,2,1,5,0.6666666666666666,187.48000000000002,12,0,-6,0,4.073889031421743
40,53,147.47,4,92.68,2,14,1,32.52,3,2,10,4,0.06666666666666667,44.9975,100,0,-5,0,62.423385195662426
21,47,143.82,3,42.0,9,8,3,51.74,1,2,3,5,0.3333333333333333,65.18666666666667,36,0,-7,0,29.001519127192378
21,74,453.7,3,15.62,3,5,3,40.45,3,3,11,6,0.5,164.71666666666667,231,0,-9,1,3.4352320211128218
29,70,530.15,5,125.03,10,8,2,31.19,2,0,10,2,0.2222222222222222,112.268,0,0,-6,1,23.53948978631272
39,112,531.95,1,51.91,7,13,3,51.81,2,1,8,3,0.21428571428571427,583.76,32,0,-8,1,9.740125715357912
43,73,352.17,6,22.73,6,10,3,25.93,1,3,8,5,0.2727272727272727,63.01666666666667,144,0,-7,1,6.4359939972251325
57,6,473.08,3,5.55,9,11,1,51.0,3,1,4,4,0.08333333333333333,174.6933333333333,20,0,-5,0,1.1706884913938576
59,94,411.69,4,67.98,4,4,4,27.55,2,2,8,5,0.8,109.81,96,0,-10,1,16.472412706874408
52,45,197.76,1,7.91,7,14,2,44.67,3,1,5,3,0.13333333333333333,242.43,20,0,-7,0,3.97967397866774
21,36,267.36,3,7.79,4,3,1,32.04,2,1,0,4,0.25,99.80000000000001,0,0,-4,0,2.902817111342972
29,15,182.19,2,18.18,3,11,1,45.48,1,1,9,3,0.08333333333333333,113.835,36,0,-3,0,9.924122495769419
21,74,125.96,5,7.14,1,12,1,38.05,2,1,9,4,0.07692307692307693,32.802,45,0,-4,1,5.623818525519849
69,81,70.41,6,18.87,5,4,2,49.5,2,0,10,2,0.4,19.985,0,0,-6,1,26.42487046632125
48,45,289.31,5,2.66,3,14,1,41.1,3,0,9,4,0.06666666666666667,66.08200000000001,0,0,-5,0,0.9162619269057214
24,7,1034.61,4,74.44,8,7,1,40.22,3,1,2,5,0.125,268.7075,12,0,-5,0,7.188034105503037
27,20,567.28,4,13.3,2,9,4,42.81,2,1,0,3,0.4,152.52249999999998,0,0,-10,0,2.340395579643838
41,85,350.94,6,0.36,9,9,1,46.38,1,3,10,5,0.1,66.22,180,0,-3,1,0.10229016309598227
32,73,676.14,1,68.44,4,11,2,43.14,1,1,8,2,0.16666666666666666,719.28,24,0,-5,1,10.107215642260094
56,74,677.47,3,46.8,11,10,1,43.38,2,1,2,3,0.09090909090909091,240.28333333333333,8,0,-4,1,6.897873155776968
37,67,1182.28,4,31.07,3,10,2,41.96,2,2,4,6,0.18181818181818182,306.06,56,0,-6,1,2.6257521465756204
24,28,1328.4,1,6.51,5,7,0,38.42,2,0,6,2,0.0,1366.8200000000002,0,1,3,0,0.4896945990672483
30,45,292.7,3,13.71,3,5,4,34.3,1,2,10,4,0.6666666666666666,109.0,100,0,-9,0,4.668028600612871
45,74,239.69,6,59.64,9,12,3,33.4,3,1,2,3,0.23076923076923078,45.51499999999999,8,0,-9,1,24.778761061946902
56,36,645.84,1,73.53,6,3,4,45.49,2,4,10,7,1.0,691.33,320,0,-10,0,11.367571578752086
35,71,96.54,3,28.25,2,2,2,56.28,1,2,3,5,0.6666666666666666,50.94,36,0,-5,1,28.962476932540493
64,28,359.49,2,11.01,11,9,0,26.18,2,2,9,3,0.0,192.835,72,1,3,0,3.0541762600904323
28,38,60.96,2,95.06,4,9,0,30.19,2,0,7,1,0.0,45.575,0,1,3,0,153.42156229825693
53,5,242.57,5,21.93,8,3,0,22.11,2,3,9,5,0.0,52.936,162,1,3,0,9.003571868456707
53,103,139.18,1,21.63,5,6,4,19.4,2,2,3,5,0.5714285714285714,158.58,36,0,-10,1,15.430161221286914
19,85,428.1,4,77.12,5,6,3,47.3,3,2,9,6,0.42857142857142855,118.85000000000001,126,0,-9,1,17.972500582614774
65,60,212.08,1,18.06,1,14,2,30.82,3,1,7,3,0.13333333333333333,242.9,28,0,-7,0,8.475689881734558
63,111,686.74,5,0.49,3,3,1,42.24,3,0,3,2,0.25,145.796,0,0,-5,1,0.07124785529415185
34,69,195.24,5,28.31,1,5,4,30.12,3,0,2,3,0.6666666666666666,45.072,0,0,-11,1,14.42621280065226
23,102,693.16,3,26.12,5,10,1,45.57,3,1,0,3,0.09090909090909091,246.24333333333334,0,0,-5,1,3.7628212515846493
58,53,549.41,2,35.84,11,10,2,33.16,2,0,8,1,0.18181818181818182,291.28499999999997,0,0,-6,0,6.5115096019331045
63,107,126.41,4,0.23,2,11,2,15.17,3,3,1,5,0.16666666666666666,35.394999999999996,18,0,-7,1,0.18051958245035712
40,34,326.11,4,3.28,4,4,2,58.28,2,1,2,2,0.4,96.0975,6,0,-6,0,1.0027207972853167
64,83,648.2,3,23.63,6,2,2,32.87,1,3,2,4,0.6666666666666666,227.02333333333334,30,0,-5,1,3.6398644485520637
33,57,759.72,4,0.69,8,10,2,32.56,3,3,3,5,0.18181818181818182,198.07,54,0,-7,0,0.090703544010937
58,108,416.01,3,14.85,6,14,1,30.09,1,0,7,1,0.06666666666666667,148.7,0,0,-3,1,3.5610656818781323
43,27,234.65,6,33.37,2,14,4,35.25,2,1,11,3,0.26666666666666666,44.98333333333333,44,0,-10,0,14.160831741990238
63,29,640.32,1,3.91,5,9,3,46.03,1,0,0,5,0.3,686.35,0,0,-7,0,0.6096800349279611
67,57,241.88,5,15.57,11,2,1,37.43,3,2,9,5,0.3333333333333333,55.862,108,0,-5,0,6.4105731225296445
18,90,706.8,5,21.35,8,4,2,29.36,2,0,4,2,0.4,147.232,0,0,-6,1,3.0163888103984178
53,34,233.13,1,2.43,6,11,5,30.7,3,1,8,7,0.4166666666666667,263.83,64,0,-13,0,1.0378849357194722
47,26,637.17,1,55.2,11,12,2,55.77,2,3,11,7,0.15384615384615385,692.9399999999999,264,0,-6,0,8.64973282981024
19,5,640.01,5,69.97,3,7,3,25.18,1,1,7,5,0.375,133.03799999999998,42,0,-7,0,10.915586340306703
37,62,40.76,2,23.68,2,5,1,17.34,2,1,2,3,0.16666666666666666,29.049999999999997,8,0,-4,1,56.70498084291188
22,92,155.32,4,4.24,11,13,2,49.59,2,1,8,4,0.14285714285714285,51.2275,40,0,-6,1,2.7123848515864895
48,56,150.15,5,36.37,7,6,4,44.72,2,3,9,6,0.5714285714285714,38.974000000000004,189,0,-10,0,24.062189877605025
25,56,242.39,6,11.38,10,11,1,30.44,2,0,0,3,0.08333333333333333,45.471666666666664,0,0,-4,0,4.675623484941863
47,70,614.67,6,18.27,6,9,0,23.61,2,1,6,5,0.0,106.38,36,1,3,1,2.9674988224211023
56,103,467.14,4,23.81,5,12,2,38.45,3,1,9,5,0.15384615384615385,126.3975,54,0,-7,1,5.0860853590806165
19,16,1054.32,6,6.6,9,2,2,32.39,3,5,2,7,0.6666666666666666,181.11833333333334,80,0,-7,0,0.6254027214494182
30,74,718.63,4,19.52,5,4,4,40.7,1,5,1,7,0.8,189.8325,40,0,-9,1,2.7125050373108404
21,75,72.52,5,34.44,4,9,2,55.51,2,2,6,4,0.2,25.606,60,0,-6,1,46.84439608269859
62,30,379.53,4,33.46,5,11,4,22.43,3,4,3,8,0.3333333333333333,100.49,108,0,-11,0,8.792999237905027
69,92,288.89,6,39.13,9,10,0,48.12,3,3,9,5,0.0,56.16833333333333,162,1,2,1,13.49822346407258
25,82,872.53,6,74.23,2,14,2,25.57,2,2,3,4,0.13333333333333333,149.68333333333334,30,0,-6,1,8.49770471535036
56,83,515.78,1,70.23,6,2,1,69.43,1,2,1,4,0.3333333333333333,585.21,10,0,-3,1,13.589922210611869
42,18,324.46,6,4.05,8,7,1,45.88,2,2,3,4,0.125,61.72333333333333,30,0,-4,0,1.2443925520801327
24,99,351.61,4,86.68,10,6,3,40.07,1,2,5,5,0.42857142857142855,97.92,60,0,-7,1,24.582399818496356
31,119,1064.25,2,15.38,1,2,3,26.74,2,0,9,3,1.0,545.495,0,0,-8,1,1.4437925369631543
46,22,337.65,1,21.17,3,5,3,21.26,3,1,1,3,0.5,358.90999999999997,4,0,-9,0,6.251291894286137
62,54,672.01,6,21.47,1,4,1,27.38,2,0,1,2,0.2,116.565,0,0,-4,0,3.190145763064442
38,48,475.43,2,45.52,2,6,2,32.2,2,0,4,2,0.2857142857142857,253.815,0,0,-6,0,9.554394139747707
54,34,348.1,1,26.64,5,4,4,31.63,2,2,10,6,0.8,379.73,140,0,-10,0,7.631051274706388
66,21,796.83,4,9.4,5,4,3,43.38,3,2,6,7,0.6,210.0525,96,0,-9,0,1.1781958562601054
50,103,223.1,6,12.28,10,14,1,54.77,2,4,10,7,0.06666666666666667,46.31166666666667,320,0,-4,1,5.4796965640339135
58,47,221.05,2,17.25,3,5,2,48.59,2,1,5,4,0.3333333333333333,134.82,25,0,-6,0,7.768520603467686
42,43,234.72,6,29.23,6,8,4,60.15,3,1,3,5,0.4444444444444444,49.145,18,0,-11,0,12.400305447140676
63,39,421.33,4,51.01,6,12,1,46.14,3,2,11,4,0.07692307692307693,116.86749999999999,110,0,-5,0,12.078232661662682
31,40,393.2,5,6.54,3,14,2,33.2,3,0,9,2,0.13333333333333333,85.28,0,0,-7,0,1.6590563165905632
26,107,644.58,4,3.56,3,10,1,33.05,1,2,1,7,0.09090909090909091,169.4075,16,0,-3,1,0.5514421140679698
32,102,153.6,2,11.98,3,10,1,37.16,3,1,9,8,0.09090909090909091,95.38,81,0,-5,1,7.7490297542043995
24,94,503.92,4,42.32,9,14,2,42.51,2,0,4,1,0.13333333333333333,136.60750000000002,0,0,-6,1,8.38152578626317
19,57,602.2,2,6.77,10,13,2,51.97,3,2,11,4,0.14285714285714285,327.08500000000004,110,0,-7,0,1.1223474801061006
48,11,269.88,4,38.62,6,5,3,41.05,1,1,1,4,0.5,77.7325,5,0,-7,0,14.257235676314234
24,76,597.96,6,59.9,3,13,2,16.93,1,4,11,10,0.14285714285714285,102.48166666666667,484,0,-5,1,10.000667824228662
58,112,608.02,3,32.03,5,6,0,49.61,3,4,1,10,0.0,219.21,44,1,2,1,5.259268989524154
28,76,776.45,2,1.99,4,11,4,33.41,3,0,7,1,0.3333333333333333,404.93,0,0,-11,1,0.2559650138272558
30,45,139.62,4,5.5,7,8,1,60.85,1,7,1,10,0.1111111111111111,50.1175,77,0,-3,0,3.911250177784099
30,26,861.48,5,14.41,9,7,1,21.31,3,1,5,3,0.125,176.558,20,0,-5,0,1.6707633800204063
43,64,128.31,4,31.98,4,4,2,34.1,3,3,1,7,0.4,40.6025,24,0,-7,1,24.731265950042534
60,86,261.8,3,21.93,7,11,2,58.37,2,2,8,5,0.16666666666666666,106.72333333333334,96,0,-6,1,8.344748858447488
67,32,411.16,4,7.72,2,2,2,41.54,2,2,10,5,0.6666666666666666,113.17500000000001,120,0,-6,0,1.87305900621118
25,62,326.42,6,2.51,3,2,0,25.13,3,2,9,3,0.0,58.59166666666667,72,1,2,1,0.766599474680838
31,62,179.36,3,5.58,10,5,0,11.8,1,0,2,0,0.0,63.720000000000006,0,1,4,1,3.093812375249501
62,106,258.11,3,39.98,9,3,2,49.29,2,2,1,4,0.5,102.46666666666668,10,0,-6,1,15.42974026475242
19,92,923.27,2,13.42,3,4,2,58.04,1,4,6,6,0.4,490.655,168,0,-5,1,1.4519566793253054
59,26,245.56,6,21.38,6,5,2,36.76,3,2,9,4,0.3333333333333333,47.053333333333335,90,0,-7,0,8.67131732641142
32,29,715.62,5,13.69,5,6,3,27.87,3,1,8,3,0.42857142857142855,148.698,32,0,-9,0,1.9103569534760403
41,104,24.0,6,85.49,10,5,2,29.58,3,0,9,4,0.3333333333333333,8.93,0,0,-7,1,341.96
51,40,304.38,1,14.74,6,12,4,9.06,2,1,1,5,0.3076923076923077,313.44,6,0,-10,0,4.826773200602528
21,51,1317.9,3,71.03,5,3,5,57.79,1,1,2,4,1.25,458.56333333333333,10,0,-11,0,5.385548563196603
35,92,211.04,1,30.35,8,3,1,25.04,3,3,8,5,0.25,236.07999999999998,144,0,-5,1,14.313337106206378
42,64,225.87,4,12.11,9,4,1,21.53,3,0,1,3,0.2,61.85,0,0,-5,1,5.3378586855908665
64,75,125.8,1,5.47,4,4,2,48.35,3,6,7,8,0.4,174.15,378,0,-7,1,4.313880126182966
41,62,596.03,6,11.82,3,8,3,30.86,1,1,3,4,0.3333333333333333,104.48166666666667,15,0,-7,1,1.9798000100497464
23,24,562.41,2,5.44,5,3,0,29.47,1,1,9,2,0.0,295.94,27,1,4,0,0.9655490672867008
51,112,169.79,2,6.01,10,4,2,18.33,2,2,7,5,0.4,94.06,84,0,-6,1,3.5189413900111246
68,53,1250.18,3,2.74,2,14,5,61.85,1,2,4,4,0.3333333333333333,437.3433333333333,40,0,-11,0,0.21899327035278696
55,70,474.88,6,36.63,5,12,4,55.7,2,1,0,3,0.3076923076923077,88.43,0,0,-10,1,7.697318651760948
20,106,594.58,2,33.9,11,2,3,15.49,2,2,7,4,1.0,305.035,70,0,-8,1,5.691930555089156
36,35,341.14,5,25.02,5,11,3,29.53,1,1,7,5,0.25,74.13399999999999,42,0,-7,0,7.312795931490033
64,96,841.75,6,73.2,4,13,2,20.65,2,1,0,4,0.14285714285714285,143.73333333333332,0,0,-6,1,8.685849896173242
63,56,243.47,2,38.99,7,13,2,45.27,1,1,5,4,0.14285714285714285,144.37,25,0,-5,0,15.948787172250176
53,39,604.77,2,44.27,2,10,0,21.04,2,2,6,3,0.0,312.905,48,1,3,0,7.308054211994652
36,25,557.64,6,3.34,3,2,5,41.44,2,3,5,7,1.6666666666666667,99.84666666666665,120,0,-12,0,0.5978805670915079
45,72,104.57,1,20.19,1,5,2,28.68,3,0,0,2,0.3333333333333333,133.25,0,0,-7,1,19.12475134981529
64,66,506.01,5,154.88,7,3,1,40.26,1,4,0,6,0.25,109.25399999999999,0,0,-3,1,30.547720952249463
27,66,228.14,3,7.99,11,5,3,17.94,3,2,3,4,0.5,82.02666666666666,30,0,-9,1,3.4869512088679415
35,93,361.43,6,26.03,9,10,2,38.98,3,0,3,2,0.18181818181818182,66.735,0,0,-7,1,7.18207653891786
21,18,90.99,1,16.18,9,9,3,45.33,3,1,5,4,0.3,136.32,25,0,-9,0,17.588868355256007
29,59,288.44,5,48.39,6,7,4,31.23,3,1,2,3,0.5,63.934000000000005,8,0,-11,0,16.718490878938642
44,119,317.4,6,28.2,6,11,1,38.22,1,1,0,3,0.08333333333333333,59.27,0,0,-3,1,8.85678391959799
46,116,461.97,4,6.07,4,2,3,48.09,2,1,9,4,1.0,127.51500000000001,45,0,-8,1,1.3111000712789165
29,95,325.34,3,21.69,1,5,3,10.26,1,3,6,7,0.5,111.86666666666666,144,0,-7,1,6.646442360728076
28,41,552.04,3,3.86,7,9,3,45.32,2,1,9,4,0.3,199.12,45,0,-8,0,0.6979603645305946
21,42,87.23,6,12.36,9,7,2,34.49,3,1,5,4,0.25,20.286666666666665,25,0,-7,0,14.008840530431824
63,68,80.5,1,1.34,7,10,1,18.04,2,1,9,2,0.09090909090909091,98.53999999999999,27,0,-4,1,1.6441717791411041
41,106,1983.81,5,48.5,2,13,1,25.48,3,1,10,4,0.07142857142857142,401.858,50,0,-5,1,2.4435588293085986
43,75,869.54,4,21.59,8,2,3,57.59,3,0,11,2,1.0,231.7825,0,0,-9,1,2.4800698417074463
45,105,323.22,2,17.67,10,6,4,27.26,3,2,8,4,0.5714285714285714,175.24,80,0,-11,1,5.450003084325458
64,13,105.79,3,6.31,2,7,3,32.38,2,3,7,5,0.375,46.05666666666667,126,0,-8,0,5.908792958142147
21,51,181.12,4,22.57,3,14,0,37.45,2,2,9,6,0.0,54.6425,126,1,3,0,12.39292773995168
53,25,504.75,4,27.33,11,7,2,32.18,2,4,10,9,0.25,134.2325,400,0,-6,0,5.403855659911023
32,31,208.36,4,15.1,5,4,0,45.32,2,1,10,1,0.0,63.42,20,1,3,0,7.212457011845625
39,2,203.93,4,9.11,6,2,1,50.47,2,0,9,3,0.3333333333333333,63.6,0,0,-4,0,4.4454203874493725
66,2,554.46,5,21.54,1,7,1,41.21,1,2,3,4,0.125,119.13400000000001,30,0,-3,0,3.8778669931228165
